	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:59:19 2025

	Auto Mode
	Command line used: iozone -a -b -f /shared/test
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
            4096       4   3609363   6243125  11907264  11940367   8712759   5942934   7408930    8108279    8209013   8340529   6967243  10184853  12919082
            4096       8   6311938  10112910  14072566  16650294  14072566  10425907  10166771   12569357   12958059  10923071   9348033  15635038  18358372
            4096      16   7185807  13247835  14941541  18616995  16929220  11768599  13561566   17131802   16912554  11866142  10779149  15807673  20384139
            4096      32   6930704  14318876  20168765  27496338  25458986  14318876  18862276   21453230   18718416  12532680  11539362  20263922  27496338
            4096      64   7123239  13845736  22002745  20579482  25919917  15287223  18966395   20287852   21007275  13086376  11042425   9202815  19706075
            4096     128   7473388   9348033  19135397  26077293  25123904  13604523  21890602   21453230   26768022  13702178   9943171  22144551  27105892
            4096     256   6682678  12718238  24690613  28080596  26935898  15112405  24690613   20192470   29078712  13518879  13790167  25308964  26935898
            4096     512   6953144   8717180  15880734  26077293  24375326  16119138  24101756   17356809   25271734  14072566  14366773  25123904  23670066
            4096    1024   6714018  15341830  23967260  27321427  24833373  15939671  24237769   18516667   29681582  15999048  16996213  16522191  24101756
            4096    2048   7249484  15341830  18616995  28642390  25610798  16585996  23702723   18378010   28452645   8497289  23540333  12299398  20263922
            4096    4096   4043458   9685316  29276929  31533938  24655179  13476460  27148727   16846218   29888133  16256412  15999048  28080596  28834684
            8192       4   3468296   3740525  12432038  11683783   7765253   6666867   8192973    8350269    6884607   8496881   8030217  11573589  12048414
            8192       8   6455193  12154969  18210533  17104560  13386185   8605412  11222050   12802617   13657548  10981742   9427042  16886004  18210533
            8192      16   6765318  10381195  17622134  21846143  19978849  10822627  14920815   16512708   12879400   9728660  11295836  20478973  18415496
            8192      32   6746720  11820445  21680726  21735586  22637771  15224943  18706245   21626142   21721845  12797849  10556617  22697588  26952921
            8192      64   7243074  10925870  22198999  23537199  27382517  15513658  18405631   12065338   18829258  12302946  10003400  16787005  22757722
            8192     128   6978288   8490582  16961023  19272845  19502569   9266865   6827153   20369707   21225362  10612044   8257953  20225820  18615035
            8192     256   6564962   9931117  16155560  21776913  21108009  13090393  19327049   21901844   24371967  11363077   8952964  13957128  21901844
            8192     512   6866721  10530733  17355106  23078725  24098471  15258749  16285735   19591530   26252742  11538609  11127558  16347723  16449466
            8192    1024   7111158  10238893  18706245  22697588  22697588  13257065  16512708   19978849   23947311   9276873   9928248  16787005  21612539
            8192    2048   7103807   9571475  16616521  20638888  16927599  13344594  17241890   18200887   24758320  12224159  10999319  16355505  19828962
            8192    4096   6547448   9214676  11329356  18455061  13065504   7900959  15967862   16186002   16994579   7578564  12133508  13979843  13407078
            8192    8192   3491912   6895660  16616521  20083951  18788074  15031784  10967720   10076743   11636301  12937594  10175219  12860118  15367944
           16384       4   3260431   4261195  10428149  12109573   6291951   5016457   7728405    8187902    5580685   7724930   7754568  10871948   9620796
           16384       8   6514431   9587240  15381035  15893285   9729770   7872723   9863842   11951617   10822295   8780015   9062539  15031145  16619759
           16384      16   7062054  10543345  17864036  19369571  13919826   9011438  11830224   15981995   12572616  10310799   9912217  16535777  11107424
           16384      32   6872081   9758786  17598693  20737328  16960210  11669509  13320811   20508344   16960210  10779854   8479901  17451210  20404822
           16384      64   7086815   9481418  16551708  18854085  17966788  10786622  14665455   20508344   18370234  10930746   8938763  15018005  19342312
           16384     128   6606494  10247758  17082474  19787884  20631487  11306626  14257727   21276659   18429353  10672705   9051796  13780259  18166271
           16384     256   7163647  10022083  16515906  19137620  19601621  11719262  10908189   21963484   10176433  10220324   9210731  16124497  19010558
           16384     512   7297535   9548608  17048570  21442634  20582053   9406146  17371802   22473460   22291212  11563473  10132917  15860271  22407509
           16384    1024   6111219  10729361  19255594  21529968  21782475  13506702  18598941   23471324   28445779  10995458   9459231  18598941  20612921
           16384    2048   6986664   9459231  20926779  23375516  23854256  12263001  18262828   21789381   27217728  11916384  11677441  18262828  18812792
           16384    4096   5354150  11199747  14668586  21879569  20926779  14320120  14172454   17371802   24164617  13180291  13266805  11846540  17172117
           16384    8192   5303735  11260308   8312700  10369924   9769885  12497164   5754529   10923795    7980609   8187902  16872760   5849558   5423449
           16384   16384   3075686   5316044   4325296   5616719   5030411  10258466   4855880    6152253    4898106   9751862  10132917   4873443   4667870
           32768      64   3987343   5848265  18789146  22096985  14409913  10223978  19727685   19514801   20556827  11055429   9866537  19884666  21774902
           32768     128   7374993  10919287  18809717  20404233  19980060  11803611  18182628   21002908   20480246  10082226   9380982  17533149  21730146
           32768     256   7406789  11546769  22186160  24640326  19980060  10584598  20831009   22168267   21018968  11018205  10452580  18766056  24953486
           32768     512   7094060  10922758  16334933  20191402  21266143  11928594  18702216   19298329   19945266  10249902   8830110  19017939  20674333
           32768    1024   7430415  11295294  22613252  25499797  25661676  11287873  22214848   22598379   25186704   9905648  10085185  22290509  23060978
           32768    2048   7017990   9399588  11795506  19598283  17310115  10502903  13363300   20569133   28972298   8096643   9397017  14740649  18628703
           32768    4096   6781480   9570420  11489816  16093920  18115523  10911485   9495046   19922137   22819755  10135761   8992456  10462128   9550469
           32768    8192   5308407   8779906   5640880   6871327   6780142   9867246   4502385   13534375    8208346  10002248   9354166   4824483   6720466
           32768   16384   3739855   7924382   4602191   4936423   5083590   8712560   4388944    9204442    4451059   6745203  12029872   4451492   4801225
           65536      64   3006370   5331967  18259695  19499304  14286937  10176590  16603112   21167566   15166676   9838570   9260509  15906544  19858529
           65536     128   6866659   9491048  16992100  19499304  15911148  10090296  16416692   22522104   16023376   9268315   8701199  15787776  18849452
           65536     256   7043851  10394400  19805587  21788375  18881822  11363847  19360590   22087762   19721749  10187528   9359519  18973053  21126893
           65536     512   7098788   9765518  17599162  20951370  19355137  10836126  16253610   19895901   19805587   9960136   8403275  17920424  20059972
           65536    1024   6798388  10715733  19871450  21836840  20851244  11862090  19291294   21644260   19888703  10476006   9641859  20811777  21664731
           65536    2048   7117168  10063698  16684743  18581864  17593530  11287319  15489739   20466226   16396128   9911651   8422586  15551962  17857557
           65536    4096   7143804  11266501   9621946  14942422  16960646  11770154  10110709   20627488   25649238  10520915   9600774  10141671  14993771
           65536    8192   5806853   9274883   5190997   5630228   5219979  10527765   4557462   18768370    9024283   8953151   7931426   4879881   5374818
           65536   16384   3934425   8539815   4535354   4751743   4666476   9273318   4194316    9160824    4605183   9981112   9192993   4373150   4647933
          131072      64   2130871   3657436  19808303  21106458  15371419   4535197  16926080   21325883   15123205   4830520   5779736  19039949  20660672
          131072     128   3331433   4979365  24740588  26580330  22807842   5729917  22529308   21892325   23988152   4603864   4545246  23613108  25716194
          131072     256   4532393   4852736  22424546  24005959  21988644   5603531  22010653   23137086   22524693   6277700   5022674  22321659  23801213
          131072     512   4392782   6085556  24435974  26026647  25500290   6815649  24927934   22533002   24670642   5825671   5031546  24540692  26042675
          131072    1024   4357131   6145832  27386725  29126435  27840240   7223572  26506000   23347362   27916581   5648961   6564812  26094592  28291545
          131072    2048   4172124   6097232  23248629  26156670  24022743   5044936  22378904   22567226   22692983   6256125   6140615  23728275  27175536
          131072    4096   4004024   6882287   9890041  22318034  21874032   6760832  12762815   21940379   19120740   5774575   5715204  11016310  22575566
          131072    8192   3508539   6125153   4812633   5038509   5614060   4572541   4821835   19513012   15258785   5542183   5168879   4694883   5678309
          131072   16384   2772542   3580705   4471020   4616700   4705169   4960942   4312696   11533063    5142720   6021830   6290990   4370814   4483564
          262144      64   1934415   2392782  22462940  22378815  15399364   3792808  18116311   21922358   17718396   3124333   4150340  21548992  21748904
          262144     128   3048966   4359632  25249541  26172737  21331595   3213491  22319305   21556174   22382460   4558793   4565058  24632951  25955258
          262144     256   3250705   4785316  27771893  27828829  25431168   4314774  23198990   22622390   23851195   4511783   4796170  27125793  27286683
          262144     512   3291450   3921032  27452236  29110862  27067029   3895333  27312440   22852785   25147900   4163463   4533960  27547841  28608674
          262144    1024   3392477   4588395  28609418  29375296  27215765   3884489  27067029   23037611   25804192   4642584   4415127  28136473  29420885
          262144    2048   3527096   4592016  27655239  29178846  28892845   4596278  26632355   22777040   25791481   4447254   4997125  27704714  29349420
          262144    4096   3468383   4891026  16947423  27690062  27101054   4208515  19041534   22820532   23646527   4228129   4379725  17663460  27751565
          262144    8192   3016825   3819223   4780946   4988261   5411067   4156726   4629078   20206854    6650212   4062548   3824577   4703817   5004176
          262144   16384   2709639   4082474   4424223   4612049   4543609   4163589   4366159   12568029    5694567   4268823   4217652   4435610   4542745
          524288      64   1205065   2745841    539865    692904   1569803   1565268    737708   22360566    1642635   2884396   1484162   1231338    483403
          524288     128   3100736   2968821    476475    710973   2729201   2595419   2662372   21559515    1589922   2590368   1683680    737063   2669683
          524288     256   2874323   3048010    517698    812489   3316202   2771268   1935099   19119147    2427261   2913004   1900689    615334   3078597
          524288     512   2974632   2149726    562136    967501   4762008   3235643   4751698   23295279    3222919   2990119   2692137   1004111   1348192
          524288    1024   3036185   2536924   1270089   1190762   5984130   3145173   5713695   22178124    3604419   2965546   2132266   1570086   1533517
          524288    2048   2978689   2569988   1744799   1511827   4249067   2729814   4723142   23252173    3018787   2315495   1836570   2453487   3653094
          524288    4096   2953954   2042933   1576151   1358801   4690981   3062950   3451945   22423726    2871286   2186418   1962581   2237497   4199776
