Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:35:16 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4    710511   6421025   4274062  12310336   7100397   5283570   4897948    5283570    6421025   6421025   6421025   9006179  12310336
              64       8   4274062  10402178  20962191  20962191  12902017   7940539  10821524   12902017   15972885  10821524   7293312   7940539  15972885
              64      16   3363612  10821524  20962191  55857768  20962191  12902017  15972885   15972885   15972885  10402178  15972885  20962191  64000000
              64      32   5283570  10821524  30484297  34389688  30484297  12902017  20962191     725882   15972885  10821524  20962191  34389688  34389688
              64      64   4274062  20962191  34389688  55857768  64000000  20962191  30484297   20962191   20962191  12310336  15972885  30484297  64000000
             128       4   2621367   4889281  11720614  12842051   9795896   6812590   7917784    7917784    8548124   7917784   8036304   9795896   8548124
             128       8   4934216  12542043  18012359  20804356  14200794   9129573  12842051   14200794   14200794   1802755  10567140  15881078  18012359
             128      16   5122535  12842051  21643049  25804035  25804035  14586625  14200794   16365173   25804035  14200794  15881078  25804035  31945770
             128      32   4557257  15881078  31945770  41924383  31945770  12842051  15881078   15881078   31945770  15881078  14200794  25804035  41924383
             128      64   6406138  15881078  31945770  31945770  31945770  15881078  18012359   15881078   25804035  10779307  31945770  25804035   4407601
             128     128   6406138  15881078  31945770  31945770  31945770  18637664  21643049   15881078   21643049  15881078  14200794  31945770  31945770
             256       4   3605511   8534922  12812277   6249745   8534922   7120034   4332998    8208677    8534922   8815202   1985448   7735574  12228612
             256       8   4652146  11569783  18259146  21558614  14953435  10148242  12661199   12812277   11695808  11569783   2413957  16072608  16828306
             256      16   6249745  14953435  25684103   7735574  18259146   9868433  19591792   19591792   22940409   9868433  11569783  21558614  25684103
             256      32   5810112  15164624  31762157  36024719  31762157   6398720  16072608   23441229   28401588  15835569   1243036  19591792  23441229
             256      64   5569035  15835569   7965107  18259146  28401588  14164395  25684103   23441229   28401588  15835569  19591792  21134280  31762157
             256     128   5971678  15164624  29173251  31762157  31762157  18259146  19591792   17096249   25684103  12661199  21134280  19955913  28401588
             256     256   6107548  17096249  32730347  31762157  31762157  16072608  23441229   19591792   17096249  17096249  17096249  31762157  31762157
             512       4   3431550   7022379  10434519   3913012   8109658   6999490   5214798    8665997    8528336   8562340   7513788   9468384  11877300
             512       8   5164632  10485468   6104175  14146265   5079126   9145790   8234036   12499490   13190469  10641343   9638369  14628067  16049269
             512      16   4375425  13109944  11374040  21303197  16543832  12215097  16543832   18229030   21303197   4961773  11138071  17776344  23139567
             512      32   5684095  13438092  25624554  23391616  20490142  14240069  21303197   19736867   26908901  12499490  11943357  18229030  21303197
             512      64   5684095  15471149  11620224  26908901  20490142  14628067  24181823   21303197   26908901   2438090  15143846  24457224  23391616
             512     128   5067142  14628067  30329249  23139567  26908901  15143846  23139567   19736867   25624554  15471149  15471149  21303197  28328790
             512     256   7115451  15583417  26908901  31671139  10485468  12797441  21303197   16049269   22183443   9859630  23391616  13872122  25624554
             512     512   5822804  15037801  34192498  25624554  29906870  14628067  21303197   14628067   20490142  15037801  15471149  19736867  24181823
            1024       4   3646583   8474583  11018226   6559147   8122014   7113161   4614246    9142007    7319232   8914314   7699755   9064828  12492426
            1024       8   4287225   9743447  16219316  15516181  13102174   8914314  10329265   13305116    6776473  11489839   9855234   7524394  15743686
            1024      16   5194651   8391792  11489839  14422045   8822754  12313351  14183905   17985196   16531459   7883484  11132462  19719260  22276143
            1024      32   6093831  13514444  20471166  21823389  22869206  13818817  21823389   21282686   19363647  11645609   9832672  18936769  27045423
            1024      64   5758828  14820161  25594883  22276143  24430194  14422045  22276143   22748081   25594883  12790037  13305116  19719260  22276143
            1024     128   4741598  15516181  26876184   9064828  20088179  13863422  23240448   20869039   22748081  13305116   9832672   8610501   7941793
            1024     256   6172653  15801608  24998980  23754601  20471166  12313351  22748081   20869039   18936769  16280798  17056672  18608584  23886714
            1024     512   5564829  15977962  27566176   8122014  30075602  16789959   7524394   19629138   26876184   6025439  24430194  23886714  23240448
            1024    1024   6317933  14618393  26876184  30075602  30942298  16280798  10158253   16789959   17331995  16280798  12790037  14668318  29256135
            2048       4   3929871   5626082   7082696   7582884   8097557   6503556   7343043    8820994    6092991   8229438   7529708   9472740   9752360
            2048       8   4259178   7817519  12118884  10240672  14840791  10289741   6917293   12959958   13467949   9796850  10037248   9268323  17645509
            2048      16   5804771   8634786  13467949  18804350  20658530  11502234   9752360   16653431    9796850   9483197  12118884   9752360  21115571
            2048      32   5640860  10037248  14109484  20268568  22979678  13836752  10289741   22264924   20079056   8398403  11380325  12416686  20909969
            2048      64   5403134  12118884  21539147  21539147  13836752  14226322  21539147   21115571   18441025  12786337  13118295  19486895  28367810
            2048     128   6284678  12805399  17791701  13301113  25656476  14713687  16525279   20510548   24984852  11917129  11835033  10037248  24074544
            2048     256   6149699  14040298  21593292  12959958  25580074  14738933  21115571   12710657   26284531   8784909  11983630  22736381  21325256
            2048     512   6464402  15623582  25278959  11706006  10037248  15262700  17501701   17681831   10439809  16399085  15289867  19710468  26944106
            2048    1024   5403134  14638464  26284531  24984852  27286464  13467949  11058022   18970464   24984852  12345306  22498183  19139540  26944106
            2048    2048   5689430  13198923  28844090  31487372  30590314  14321195  16244028   10289741   13058467  13552946  11900619  10037248  27286464
            4096       4   2023588   6542703   8962759   8695120   8552280   5431844   5581856    7421732    8193352   5611025   6953144   7770863  10638969
            4096       8   5231694   8811067  12049235  11470025  13207098   6608135   8209013   13647752   10923071   9188050   8865630  12765490  15764158
            4096      16   5869835  10263956  12379160  20678564  19221033  11378861  12880338   13046624   12880338  11500738   9943171  15578328  13746032
            4096      32   6782940  11252164  16929220  22116044  23540333  12643359  15635038   21346604   17286949  11378861   7274040   7486415  17880690
            4096      64   7061751  10779149  13924290  14038069  24237769  14787213  13879294   15706509   21214804  10425907  10502389  12928804  22521946
            4096     128   6302675  11447097  17498237  21560926  21560926  13518879  14524675   18966395   20263922  10400659  11042425  13166611  16585996
            4096     256   6565206  11973655  18202760  24101756  26116935  14072566  13615304   20905025   17714753  12597006  10369272  15578328  23670066
            4096     512   6520355  11940367  16522191  17131802  25919917  14072566  14427096   22881911   19706075  13126371  12370246  14573961  16318176
            4096    1024   6311938  11378861  17516078  23412013  26935898  14224033  16380411   13207098   26276719  14838300  12083134  12334720  24237769
            4096    2048   5988509  12414943  18779801  24549484  21453230  14271297  13561566   19394624   23412013   8162211  21918530  16862753  25308964
            4096    4096   2663212  10923071  15564215  23670066  25764430   9394037  15452222   15165768   17427236  10036109   9840653  18378010  26438471
            8192       4   3127933   6095604   9775714  11178240   7008178   6532510   4253071    7676771    7565215   7223279   6703285   6959913  10278712
            8192       8   6351381   9121717  13277557  13190902  12879400   7922821   9692982   11363077   11027561   8159896   7751239  11656039  14920815
            8192      16   6370221   9695717  12783564  14100319  12065338   9671156  12432038   14371614   13517846   9396107   6737460  11160086  14785977
            8192      32   6709830   9823226  12981586  14146762  18200887   9523721  14548080   22084851   13298112  10721317   6511465  12563868  18239534
            8192      64   6759994   6821731  14811472  14628599  14628599  12116393  11857157   21225362   12527222   8752276   8299843  15748303  18706245
            8192     128   6307078  11041736  12922997  17505420  16927599  10967720  16005052   18124082   20333543  10922396   9614327  13701116  19403449
            8192     256   6548696  10026754  14222889  16193630  21735586   9823226  10569606   18405631   15967862   9695717  10226704  17207351  18124082
            8192     512   6959913   5681356  14728932  14972831  22563442  10238893   8819674   21160006   22445525  10278712   9977258  11636301  17172951
            8192    1024   6741425  10393756   9052027  14401733  18655463  13344594   8605412   17172951   24974266   9447779   6890129  11956180  13934487
            8192    2048   6720329   9592853  13565880  13581967  14972831  12378293  10939784   16819875   15224943  10651521   9831659  10278712  16064918
            8192    4096   5494212   8248041  11616631  14077211  13085407  12133508   6439465   13001235   16418026   5801260  15084578   8679319  11853067
            8192    8192   3348965   8934340   7683638  10981742   8971666  10894690   7915520   10291026    7289171   9427042   9728660   6820377   9309549
           16384       4   3135040   7320858   9282896  10057285   5961710   5331717   5527714    7623802    6582447   7265900   6829736   8842150  10742780
           16384       8   6206148   7585093  11618213  12869284   8055449   7230732   8493527   11769440    9384309   7891709   7753693  10349621  14308194
           16384      16   6470269   7606082  13032810  14308194  11897816   8737593   9356200   15044308   11803808   9324462   8368375  11862900  15970852
           16384      32   6801345   9649164  13827397  14975460  12709810   9552590  10026469   18104055   13440658   9706407   7979682  10871948   8459025
           16384      64   6540472   9153070   9728392  15937517  12669973   9758786  10793399   20557424   13266805   9406146   6858364  10501454  15326149
           16384     128   6731392   7820757  10915120  15453672  14814045   9066126  11914318   20459497   12740443   9324462   8437214  12411393  15339834
           16384     256   6901759   8669252  13127416  14975460  15214175  11009550  12526779   24130676   15647203   7333358   8705493  12449618  16943483
           16384     512   6690106   9334595  14907239  14550561  15937517  11425053  12881345   20768664   15512977  10095701   9157949  13150025  17052801
           16384    1024   5254664   9930839  10894355  13835748  16350857  12163157  12818871   18787076   24641184   9852529   9459231  13956577  13780259
           16384    2048   6437538  10448761  13584130  16075462  15370714  12217217  10515917   19529204   23954036  10610087  10026469   5994473  14907239
           16384    4096   6028127  10428149  11793679  13551983  12526779  12300316   6951327   17526876   18409604  12154552  10279951   6815511  10981401
           16384    8192   5156872   9297968   5010239   7092667   7265132  10176433   5464853   11899876    5887143   5975188  16109378   5564868   5938526
           16384   16384   2411141   8934115   4755737   5173566   5072369   9122693   4560077    8463192    4817414   8719854   8212365   4880712   5053718
           32768      64   2019711  11011143  16657640  19727685  16581273  10754385  16319416   19727685   18483397  10853752  10100750  16101462  20609230
           32768     128   7163948  10646090  16063823  19377233  18022876  10129784  14674546   18618608   17907808   8163491   9623359  14847341  18490857
           32768     256   7064887  10362735  15869072  17654769  17477409  11118931  15406562   21630965   18973307  10079268   9564426  16882721  20176581
           32768     512   6578605   9193975  12885941  17838081  16796067   9801801  16061946   20052939   17589246   7867228   8491326  15399657  18044172
           32768    1024   7087841   9615280  13738666  16769425  16847539  10313744  13347727   20328783   20416357   9963094   9178625  13590585  19129112
           32768    2048   6905853   9391880  11100073  14473648   8278554  10422459  11728068   20714842   20477194   9087590   9107462   8092829  14466031
           32768    4096   6658604   8916035   6709312   9448699  10288266  10147735   6850776   18235703   19118468   8482416   8322669   6448050  10896778
           32768    8192   4464941   8112893   5108911   6079538   5103220   9071994   4401313   12070018    6427545   9222973   8593798   4514661   5430479
           32768   16384   4106233   7373411   4388944   4729846   4635564   8066705   4336597    8361149    4518371   4835857  12131813   4316711   4561258
           65536      64   2350733   9943202  15540531  19040078  13534912   9684321  15577520   20972150   14654835   9450261   8483675  15206110  18945591
           65536     128   6882649   8421554  14371344  15837807  13112023   9382521  14418837   19264254   14136315   8895781   8586766  14784100  17721703
           65536     256   6866659  10387722  16343485  20073156  16925139  11001362  16412771   21895982   18103360   9311643   8863367  17255571  20314969
           65536     512   6876794   9710321  15629780  18564294  16654416  10590636  14827163   21743563   17169346   9432425   8808832  14987231  17673846
           65536    1024   6770257   9495310  14743658  18285203  17503903  10794847  15316258   17964930   14365335   8425684   9511739  14749987  18399028
           65536    2048   6932117   9887763  11401556  16363917  15829598  10327231  10251357   20905161   15114138   9310381   8744937  12877976  15326505
