Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:38:52 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
            4096       4   2694963   6086096   6430059   7572208   7418527   6916752   6122971    9119767    7473388   7983931   6382284   8308260  12194633
            4096       8   4939858   9779037  12832234  15620822  14673544   6714018   5894001   12680688   13476460   9756822   9242423   4161985  15564215
            4096      16   5519094   9456085  10606129  20579482  19242562  11841605   9348033   18125940   14072566  11570449   9966244   8677553  19242562
            4096      32   6149271  12229356  13126371  17587806  22760651  13217259  11907264   18536646   15999048  11099499   9914481  18536646  15635038
            4096      64   5728903  12299398  15749706  22259318  24833373  13561566  11940367   21320113   15396828  11874344  10419583  14673544  25421314
            4096     128   6628532   6565206  15939671  15749706  24977794  13350787  11907264   23035315   16862753  13046624   7921350  12151506  24409960
            4096     256   6013663  11470025  14636041  26276719  28034773  14072566  12756011   22760651   19616073  13007113  10270092  18280235  15635038
            4096     512   7099689  12756011  16443123  21807241  26236590  13935585  17131802   15880734   27321427  10923071  11982006  18049765  23380152
            4096    1024   6682678  12334720  21697077  24409960  18779801  14636041  10806269   20168765   26438471  14736477  15866068  16929220  22760651
            4096    2048   6461498  13086376  13658603  23834258  24237769  15273632  11193514   17427236   19394624   7339297  17660123  12264277  25725850
            4096    4096   3637640  10779149  27278046  26397846  26935898  14072566  15822231   14414991   15508016   8603675  12049235  15749706  26768022
            8192       4   3174166   4926264   9342456   9141131   6192276   6229323   6099933    8725605    7087688   7354701   6754678   7600357  10867125
            8192       8   6006101   7765253   6064404  11098803  12316176   7832518   8417779   11251448   10981742   8788093   8102172  11652086  13766992
            8192      16   6450345   8515834  10849967  12619239  16961023   8291831  10488942   15313152   11993741   9383277   8428103  10488942  16927599
            8192      32   6321001   8761203  11412140   7772279  20638888  12280959  11507694   16584440   15457823   9848567   8640034  11024023  18964361
            8192      64   6843471  10041405   5542066  15726679  21776913  10064936  12172193   17425519   16894307  10778492   8551866  11719650  17320112
            8192     128   6590145   9977258  11299550  16512708  18162403  13496606  13065504   18047922   16316670  11222050   9383277  12048414  19458391
            8192     256   6331484   9871202  11569692  14193513  24234447  11314434  14578944   23282020   16861145  12154969   9660279  10751510  18200887
            8192     512   6653956  10738070  13323895  14979358  24992432  11408351  13701116   16994579   22141778   7868391   9800810  10064936  14450187
            8192    1024   6730861  10251112  15231692  17355106  23203407  11088058  13251952   17622134   24251552  10331252  10530733  11427322  17250547
            8192    2048   6698058   8876637  13130412  15137744   9460786  10764984  13236637   14578944   18655463  12263426   9450378   9396107  17469818
            8192    4096   5761377   8668371  11412140  10488942  12014710  10356163   8659632   14894942   15423130   7179509  15662161   8714540   4784941
            8192    8192   2632364   7781080  10278712  11359320  10501766  10836280   7130343   11203754    4051471  10064936   8808369   7301563   9352628
           16384       4   3251329   6723489   8991393   7265900   5708638   5320984   5546453    7742336    6596348   7105134   6407526   8376536  10556302
           16384       8   5116937   7349829   9694083  12780725   8747603   7407665   8308679   10865073    9330792   8554853   7001613  10064650  12932252
           16384      16   6380161   6651899  12282728  13722472  11729263   8747603   9519507   14449597   10880555   9699557   8286637   9543303  14410206
           16384      32   6832452   8967926  13733442  14486149  11385303   7884466  11645778   21250341   12109573   9204562   8282642  12545073  13538634
           16384      64   6227520   7367164  10170408  15370714  12280533  10057285  11260308   21529968   13482851   9314351   7386962   9465746  11221694
           16384     128   6603955   7850240  10290727  13733442  13758188  10170408   7164394   18267683   12458647   8875268   7991746  11522755  15227661
           16384     256   6590654   9330792  12660636  14296287  13894495  11145254  12458647   22658713   14446559   9711894   8163585   7515413  13192943
           16384     512   6533011   8790123  13538634  14498374  14538248  11465082  10714305   19484905   10033789   9465746   6977442  12402433  15827395
           16384    1024   6442970   9459231   9636986  16448701  17031669   9942333  12199866   22658713   28997937   9700926   9225569   9454025  15044308
           16384    2048   6829057   8204521  11353326  14347028  15679334   9822953  11669509   16015518   21389241   6993063   9287914  11949538  14272533
           16384    4096   6180472   9786581   9340939  12761737  11571262  11016610   6977442   16350857   18553747  10779854  10214248   6812808   9036322
           16384    8192   4785210   8154866   6021260   7780028   7239873   9047029   6010201   11497692    7379822   6630718  16049181   5192722   5428590
           16384   16384   2371779   8885596   4709456   4418461   4999668   9277883   4841852    9051796    4256708   8864963   8599818   4443604   4954252
           32768      64   2612271  10638673  15156803  18357489  15761699   9947950  15156803   19810147   16350479  10587860   9606543  16383613  18094058
           32768     128   6003587   9963094  13636432  17111837  16246112  10843476  14720125   19598283   16416882   9089393   8756412  13412858  18034701
           32768     256   6801280  10182318  13625617  15205432  16837219  10814466  14564139   20805782   17877526  10095557   8568617  14949081  18409125
           32768     512   7007613   9834766  13631022  17003867  16761245  10646090  14229394   20926160   15024253   7785230   8743044  13751038  16657640
           32768    1024   6841228   9735149  14773924  17120363  12482188  10195158  13641846   20569133   15470729   7536350   8923561  13002978  11160464
           32768    2048   6772792   9191516  11362529  13435147  10536721  10011720   9728947   20179544   16458166   9290932   8359115   8234904  13380213
           32768    4096   6333065   8948544   7332108  10569945  10439084   9796212   6402692   16675830   10857181   8256175   8043101   6174587   8456321
           32768    8192   4733266   6808018   4762791   6099775   5832629   8756970   4814512    9517402    6406273   9787143   8708144   4254442   5587902
           32768   16384   3880175   7217747   4394839   4498701   4389505   7711842   3879737    8011688    3820953   6182643  11172258   3845112   4388944
           65536      64   2786400   9574356  14221888  17750313  13172974   9358244  13641715   19979778   12852686   9188998   8692944  14700292  17608181
