# iozone -a -b output.xlsx
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Tue Mar 11 12:25:41 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
            4096       4   2618560   8260324  10263956  12680688   8240513   7728911   6451792    8256354    8013724   8695120   8981502  10691939  11940367
            4096       8   8096815  12643359  14736477  17148903  12727660  11289134  12049235   12880338   12370246  11378861  11704457  13126371  17063738
            4096      16   8734909  15006799  17899319  21320113  17063738  14573961  15880734   17200411   15999048  13299112  13658603  17955442  21110529
            4096      32   9440496  16715094  20678564  23801238  20359982  15396828  18536646   19796907   21007275  13735042  14524675  20192470  24833373
            4096      64   9312562  18202760  18966395  22375282  21779595  18779801  19329161   20579482   19774121  14787213  14787213  20481345  23285086
            4096     128   9524234  18698043  19329161  23253568  23128348  19416544  19504720   17286949   22640669  15046228  15692162  19865582  22760651
            4096     256   9524234  19050521  21110529  24833373  23967260  20384139  19888580   22002745   23967260  14954547  16179861  20905025  24237769
            4096     512   9729195  18378010  21214804  24514454  23670066  20678564  20359982   22640669   23253568  15287223  16585996  20168765  23967260
            4096    1024   9729195  18616995  21110529  25764430  24690613  20803766  19957894   21697077   23933871  16195114  17733038  19981106  24237769
            4096    2048   9503161  17660123  23285086  25919917  22640669  18883009  19981106   19981106   23285086   7555557  26077293  18202760  23702723
            4096    4096   3709909  16380411  26077293  27852967  22730536  19050521  19156735   14318876   19616073  17148903  16458876  20287852  24549484
            8192       4   3064876   8289830   9965682  11735662   7985426   7261443   7199064    8515834    8071718   9362822   8216483   8934340  12137794
            8192       8   7891886  11192805  13277557  16886004  12679779  11145606  11236730   12961998   12623876  11889982  10738070  12759828  16819875
            8192      16   8856046  15144416  18405631  21612539  17888190  14246478  15697939   17070568   16927599  13816816  13839076  18922585  23748688
            8192      32   9942612  16512708  19828962  23472881  21721845  17622134  16819875   20953542   19048469  13816816  14031222  11251448  25512023
            8192      64   9834473  16927599  18747070  22940050  21277939  18706245  20527913   21915814   21846143  14735249  14450187  19840411  24166268
            8192     128   9447779  17613101  19458391  21212259  22563442  17888190  19143987   20178308   21277939  14474536  15313152  20788734  24389267
            8192     256   9764602  18706245  21667054  24149283  24303013  19186748  21504328   23472881   23408914  15224943  14628599  19932489  23748688
            8192     512   9928248  17355106  20688596  23266255  23748688  18747070  21120984   23472881   25683653  15144416  14792342  13587338  23537199
            8192    1024   9965682  16787005  19692587  24371967  21776913  19692587  20478973   23140898   25361377  14002632  15367944  20285525  24829886
            8192    2048   9406396  10778492  20321517  23537199  21277939  18534703  18288074   21160006   25212499  16254918  14979358  16552482  22141778
            8192    4096   8191020  15450872  20953542  23472881  16316670  19048469  12228510   18327093   18706245   6838023  23408914  13861408  18172009
            8192    8192   3668636  15485690  16787005   8200795  13496606  16316670  12486251   15031784   12241580  17241890  14468441   9882559  12522657
           16384       4   3487447   8547405   8696680  11561528   6812133   6222445   7529411    8678010    6734030   8437214   8086731   9899366  10995458
           16384       8   6751231  10208178  13629933  15679334  10101637   8818322   8756521   13266805    9194710  10176433   9610032  13711520  14801282
           16384      16   7858319  13180291  11753336  18267683  13170186  11497692  13117393   16599686   13979290  12721575  12001713  16049181  19839298
           16384      32   8419641  11862900  17267043  21087319  16664091  13300185  12556535   19391434   12623425  10965630   9357474  17845480  19908269
           16384      64   8351087  13551983  12056459  18854085  16094286  14522886  16139646   23038536   19185707  13802401  12662969  17341116  20977885
           16384     128   8371434  13396116  18023335  21139213  19833573  14785359  17429080   21727378   18705256  12932252  10749501  17929287  18204771
           16384     256   8551659  14260686  16484211  17785438  20177157  16300437  16910128   22658713   19765118  13094897  12961523  12402433  20612921
           16384     512   8308679  13967924  15845643  17693850  18204771  15197352  14210553   21761781   17544775  12045892  12143812  15693657  19529204
           16384    1024   8123056  12981110  15471067  19501494  18598941  17137857   9292938   22356480   24783372  14002077   9793555  13700585  17826962
           16384    2048   7659492   9603317   8023471  13597570  12526779  14772645  11069849   18812792   20894964  12554241  12467688   9097331  12632707
           16384    4096   6239394  11803808   7996396   9569883   8086731  14284400   4836060   14410206   14175377  11889582  12642003   7046846   8380622
           16384    8192   4837081  10639656   5401707   5773384   5498083   7501466   5212811   11338340    7433306  10258466  18553747   4230243   5981949
           16384   16384   2347954  11490003   5128010   5675165   5538853  10793399   5682674   10851347    5659275   7750195  11345828   5278072   5730536
           32768      64   3756516  10587860  21249703  23611671  18306141  13139723  17789594   23010785   18513274  12854606  11911020  21613957  22980006
           32768     128   8299551  13997522  21948773  24715654  22276058  12346510  19847337   22182579   21031834  11820869  12352058  22143266  25030744
           32768     256   8522391  14996384  22691656  25680856  23538881  15500390  20596876   23676753   24547905  13271681  12327683  22111204  25400829
           32768     512   8225047  12681437  19631876  21875410  21197265  14487379  20328783   23189380   23240356  12579296  12333215  19388167  22247212
           32768    1024   8208346  14915013  12444890  19174480  17808034  14799378  16700145   22550178   20301757  12790009  12091255  14674546  16515520
           32768    2048   7863627  14245617  10984741   9999337  11740090  14505727   9899227   16383613   25499797  11994177  11758169   8580385  10656821
           32768    4096   6390189  13133445   6104381   6908630   6777133  13567777   5320326   18347686   21847591  11058987   7998167   6477223   8287040
           32768    8192   5355987  12056254   5263076   6166553   6016991  12145750   4978444   11338158    7143468  11156840  10701629   4820253   5185630
           32768   16384   3958403   8882613   4642610   4744868   4810299   9335106   4496199    9311704    4798376   6837824  13043701   4428685   4644650
           65536      64   4546081   6696204  16692849  23147991  17664760  12452674  17301187   22337253   19533947  12272537  11945601  16396128  18794035
           65536     128   7635538  14683801  23556644  25402720  22897322  15261832  21305382   23239974   22924056  13323017  11415287  23422158  25670797
           65536     256   7734584  15315404  25372238  27183859  24110393  15394315  23735646   24957577   26018264  13624810  13220492  25501703  27768795
           65536     512   9073433  15956406  25041702  27082085  25883515  16277673  24757517   25177028   25912796  13896896  13616711  25570500  27995044
           65536    1024   8445359  16206653  23909067  26685088  25580018  16282494  23580894   25658815   26870295  14102952  12910639  21340117  23676357
           65536    2048   9040904  13421244  11932636  26385393  26246825  15723656  20182219   23840636   24996159  13614013  13490406  16003785  21716078
           65536    4096   7459007  16323104  12291195  16731460  16899126  16680693   9606478   23020046   27735172  12961777  12206593   8808550  15780525
           65536    8192   6962317  12247384   5534661   6284531   6043025  13597177   5156622   18924721   10748836  10371261   9703466   5053292   5989433
           65536   16384   4626576   9828368   4674491   4894043   4520958  10632009   4273080    9704836    4919708   9988729  10107363   4480428   4725358
