iozone -a -b output.xlsx
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Tue Mar 11 12:34:49 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
              64       4    681644   5860307  12310336  12902017   9318832   6421025   5735102    7100397    7940539   7100397   7100397  10821524   9006179
              64       8   5283570   9318832  20962191  20962191  12902017   9006179   9318832   10821524   15972885   7100397  10821524  10821524  12902017
              64      16   5283570  15972885  22737791  30484297  15972885   9006179   1163036   12902017    2203800   5735102   9006179  15972885  12902017
              64      32   5283570  15972885  55857768  64000000  20962191  12902017  12902017   12902017   15972885   5389653  22737791  15972885  20962191
              64      64   7100397  12902017  20962191  64000000  30484297   5389653   7100397   12902017   22737791  15972885  12902017  12902017  34389688
             128       4    864797   9129573  12842051  12842051   8548124   6727225   7476717    7917784    8036304   8036304   9129573  10779307  12842051
             128       8   5603747  12842051  18012359  18012359  14200794   9795896  10567140   11470204   12842051  10779307  11470204  14200794  16365173
             128      16   7476717  16365173  20804356  20804356  21643049  11470204  14200794   14200794   21643049  11720614  15881078  16365173   8036304
             128      32   5325799  15881078  25804035  25804035  21643049  14200794  15881078   18012359   24620673  12842051  15881078  18012359  18637664
             128      64   7582312  18012359  25804035  31945770  20804356  16365173  15881078   15881078   21643049   5847904  21643049  18012359  25804035
             128     128   8036304  15881078  31945770  31945770  24620673  18012359  21643049   14200794   21643049  15881078  18637664  20804356  25804035
             256       4   1312954   9868433  12812277  12812277   9518507   7120034   7518900    8534922    8271916   8534922   8815202  11569783  11569783
             256       8   6554972  12812277  11569783  18259146  15164624   9868433  11695808   12812277   12812277  11091721  11207494  14953435  16072608
             256      16   8534922  15164624  21558614  21558614  21134280  12812277  14164395   17096249   23441229  14164395  12812277  19591792  19591792
             256      32   8815202  16072608  22940409  25684103  21134280  16072608  16072608   19591792   23441229  14164395  14953435  21134280  19955913
             256      64   8271916  18575017  25684103  22940409  21134280  17096249  18259146   22940409   28401588  17096249  17096249  21134280  19591792
             256     128   8534922  17096249  25684103  25684103  28401588  12090911  19591792   21558614   21134280   4404088  23441229  21558614  23441229
             256     256   8888172  17096249  32730347  31762157  31762157  19591792  19955913   16072608   21134280  17096249  18259146  21558614  19955913
             512       4   2402629   9468384  12499490  12499490   8265729   7115451   8140399    8665997    8394979   9145790   9145790  11943357  11943357
             512       8   7758090  13109944  17069844  17630404  14240069  10434519  12215097   13109944   12499490  11877300  11877300  16543832  16417355
             512      16   8528336  16049269  22183443  21303197  19736867  13783088  15930214   17630404   17069844  13438092  13872122  20490142  20490142
